"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4137","testPlusMinus()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","5175","testMultipleOperations()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","7520","testComplexCalculation()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","6217","testAddition()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","6221","testDecimalChain()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4519","testPercent()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4810","testSubtraction()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","6155","testChainedCalculations()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","5837","testDecimalNumbers()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4651","testClear()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4505","testZeroHandling()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4554","testMultiplication()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4828","testDivision()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
"","4728","testDivisionByZero()","","2025-12-28","passed","2025-12-28","","calcUITests","",""
